1,1,2.546,21,0,21,1.7784,1.744,0.49789
2,1,2.4001,30,12,18,1.6663,1.5964,0.52874
3,1,1.8282,30,9,21,1.3331,1.2617,0.24583
4,1,1.9557,33,9,24,1.4245,1.2883,0.27216
5,2,2.1852,33,21,12,1.3783,1.3091,0.35488
6,2,1.5305,12,9,3,1.4413,1.4413,0
7,2,2.2352,63,3,60,1.2751,1.2172,0.24119
8,2,2.0175,111,30,81,1.4142,1.358,0.28654
9,3,2.4219,30,12,18,1.8467,1.8796,0.47371
10,4,1.2474,12,6,6,1.1091,1.1091,0.090368
11,7,1.1534,12,6,6,1.0581,1.0581,0.052821
12,7,1.3783,33,9,24,1.0939,1.0842,0.052055
13,8,1.5823,60,6,54,1.2188,1.194,0.13878
14,9,2.064,30,12,18,1.5479,1.5588,0.38283
15,9,1.7092,21,12,9,1.3566,1.3759,0.26832
16,9,1.8835,54,15,39,1.3936,1.3054,0.28352
17,9,1.7699,27,12,15,1.4188,1.4975,0.24158
18,9,1.3917,24,15,9,1.1472,1.1605,0.12971
19,9,1.2186,15,3,12,1.1659,1.1914,0.064908
20,9,1.1643,12,6,6,1.0638,1.0638,0.067387
21,10,1.185,21,3,18,1.1115,1.1217,0.059694
22,10,1.6347,27,18,9,1.4685,1.5092,0.18665
23,11,1.6073,24,9,15,1.3621,1.3831,0.12478
24,11,1.395,18,6,12,1.2653,1.2902,0.10793
25,11,2.5695,60,36,24,1.9117,1.9686,0.55766
26,11,2.0989,21,6,15,1.5703,1.6352,0.36814
27,12,1.1489,12,0,12,1.0923,1.0968,0.022996
28,12,2.3436,72,39,33,1.7276,1.7249,0.43234
29,12,1.8524,39,21,18,1.4354,1.4225,0.2235
30,12,1.3405,36,3,33,1.111,1.0911,0.066483
31,12,1.2738,21,9,12,1.1006,1.0879,0.092408
32,1,2.3165,45,15,30,1.6137,1.6057,0.41894
33,1,1.2404,18,9,9,1.1341,1.1319,0.075673
34,1,1.9117,48,33,15,1.4208,1.4537,0.26571
35,1,2.1596,12,6,6,1.5132,1.5132,0.35391
36,2,1.7678,21,3,18,1.4264,1.3942,0.21892
37,3,1.6303,33,18,15,1.2374,1.221,0.18175
38,3,2.8192,57,12,45,1.8299,1.9817,0.44949
39,4,2.8227,33,18,15,1.6359,1.6496,0.42109
40,4,1.3345,24,3,21,1.2158,1.2623,0.11338
41,5,1.2713,30,12,18,1.1485,1.1749,0.088798
42,7,2.8015,33,15,18,1.7023,1.6434,0.57351
43,7,1.6921,27,9,18,1.3513,1.3467,0.14142
44,8,1.4825,33,24,9,1.1674,1.1445,0.14001
45,8,2.7567,90,39,51,1.3451,1.1565,0.45662
46,9,1.8822,24,6,18,1.4804,1.5625,0.29686
47,9,1.5195,48,33,15,1.2783,1.3195,0.17282
48,9,1.9635,30,15,15,1.4386,1.3863,0.3368
49,10,2.261,51,30,21,1.5512,1.5583,0.39213
50,10,1.8751,27,3,24,1.3299,1.2656,0.2511
51,10,1.3888,18,9,9,1.224,1.2373,0.095798
52,10,2.6663,39,18,21,1.6414,1.5678,0.51876
53,10,1.7762,15,3,12,1.4864,1.5153,0.26792
54,10,1.7421,24,3,21,1.3558,1.4207,0.22189
55,11,1.9934,42,15,27,1.2897,1.1579,0.28266
56,11,1.6501,27,15,12,1.2318,1.211,0.15714
57,11,2.9092,63,27,36,1.4396,1.1694,0.53237
58,11,1.9067,27,12,15,1.5973,1.6697,0.25695
59,11,1.4182,12,6,6,1.1301,1.1301,0.16278
60,11,2.0147,27,12,15,1.5499,1.5369,0.29783
61,12,1.4844,33,12,21,1.2528,1.3103,0.13945
62,12,2.1533,33,18,15,1.4844,1.5024,0.33283
63,12,2.1859,102,75,27,1.4142,1.3289,0.33057
64,12,1.6893,18,6,12,1.3744,1.4011,0.25844
65,12,2.41,24,15,9,1.6769,1.6703,0.44719
66,12,1.526,42,6,36,1.2222,1.2127,0.14015
67,12,1.1839,18,12,6,1.097,1.097,0.11653
68,12,3.1774,39,6,33,1.4284,1.2792,0.46151
69,12,2.1709,126,81,45,1.7125,1.7907,0.2982
70,1,1.7939,54,39,15,1.4224,1.4084,0.24245
71,1,1.2904,15,9,6,1.116,1.116,0.14531
72,1,2.0671,21,9,12,1.588,1.6913,0.42138
73,1,1.6007,36,12,24,1.3781,1.4121,0.15165
74,1,1.9906,15,6,9,1.5505,1.572,0.2862
75,1,1.9269,63,24,39,1.5365,1.5503,0.26022
76,2,3.0859,45,33,12,1.6322,1.5057,0.62858
77,2,2.111,27,18,9,1.4268,1.4044,0.36197
78,2,3.4358,33,9,24,2.0113,1.8465,0.81066
79,3,2.2259,36,18,18,1.5343,1.4928,0.34064
80,3,1.2818,12,6,6,1.1661,1.1661,0.088883
81,4,1.9254,81,15,66,1.3461,1.3014,0.2349
82,4,1.6869,18,3,15,1.268,1.2122,0.24569
83,6,2.7745,33,12,21,1.6808,1.5037,0.50608
84,6,1.4626,12,6,6,1.2232,1.2232,0.14411
85,7,1.1698,21,3,18,1.1138,1.1201,0.042834
86,8,1.1748,12,6,6,1.1219,1.1219,0.073681
87,8,1.4457,24,6,18,1.0958,1.0928,0.057077
