1,1,21,2.546,1.8743,0.53492,6.4815,6.2336,0.29156,42.965,12.724
2,1,30,2.4001,1.7367,0.49097,7.0524,6.3698,0.5519,99.216,166.74
3,1,30,1.8282,1.4188,0.27478,5.3084,4.9911,0.29305,247.63,24.773
4,1,3,1.1561,1.1092,0.066256,4.7218,4.372,0.49469,275,8.2449
5,1,6,1.2191,1.1624,0.086203,5.25,4.9404,0.33307,7.6787,0.78539
6,1,6,1.0832,1.0442,0.037335,3.8919,3.8853,0.011287,172.66,3.5222
7,1,33,1.9557,1.4987,0.29667,5.5762,5.2405,0.35086,300.85,10.556
8,2,3,1.0439,1.024,0.028214,4.6011,4.3835,0.30766,297.93,1.1172
9,2,33,2.1852,1.6194,0.35123,6.2426,5.5134,0.6379,273.93,33.002
10,2,12,1.5305,1.3092,0.18917,4.4967,4.1459,0.28835,166.88,4.5429
11,2,63,2.2352,1.3261,0.30833,6.1515,5.3479,0.40542,315.48,10.27
12,2,111,2.0175,1.4839,0.29109,6.283,5.0758,0.73991,66.218,28.349
13,3,6,1.2504,1.1945,0.063353,4.1048,3.9896,0.15162,164.12,1.4632
14,3,3,1.0806,1.0614,0.027224,4.9916,4.9562,0.050134,354.01,0.84146
15,3,6,1.0551,1.0366,0.030866,4.4159,4.2586,0.17002,79.724,3.884
16,3,30,2.4219,1.881,0.46004,7.3856,6.9053,0.44761,13.881,4.2414
17,3,6,1.1771,1.1199,0.053302,4.8586,4.6305,0.26863,273.62,8.822
18,4,12,1.2474,1.1311,0.093416,6.0209,5.2356,0.64425,4.8764,1.4409
19,4,9,1.3686,1.214,0.13969,4.4054,4.2086,0.22774,207.13,5.2957
20,6,6,1.1545,1.1223,0.042127,5.2848,5.1422,0.20524,10.495,1.0201
21,7,6,1.2288,1.1194,0.094723,4.8828,4.6182,0.2762,333.84,1.0017
22,7,12,1.1534,1.0904,0.057859,5.1553,4.9526,0.21909,306.03,2.7311
23,7,33,1.3783,1.1523,0.11237,5.0954,4.8782,0.14353,275.06,3.7673
24,7,0,1.006,1.006,0,4.6039,4.6039,0,281.79,0
25,7,3,1.0314,1.0171,0.020294,4.6679,4.6509,0.024042,288.91,2.3688
26,8,3,1.1007,1.0764,0.034295,4.3592,4.2933,0.093267,245.71,4.4618
27,8,60,1.5823,1.2424,0.15492,5.2256,4.8314,0.26388,271.32,38.815
28,9,0,1.0283,1.0283,0,4.8498,4.8498,0,301.66,0
29,9,30,2.064,1.5325,0.37896,6.1621,5.6257,0.41394,299.12,9.667
30,9,21,1.7092,1.3797,0.2535,6.0225,5.6967,0.44869,293.89,8.2145
31,9,54,1.8835,1.4378,0.27607,6.0864,5.3617,0.52481,314.2,30.936
32,9,27,1.7699,1.401,0.24777,5.9571,5.4136,0.53531,284,12.96
33,9,24,1.3917,1.2536,0.13416,5.1188,4.8498,0.22332,195.1,173.71
34,9,15,1.2186,1.1494,0.085723,5.198,5.0244,0.168,308.9,4.1617
35,9,9,1.2976,1.1678,0.1113,5.2312,4.9672,0.33508,297.98,10.887
36,9,12,1.1643,1.0922,0.061889,5.5119,5.2079,0.2275,341.13,3.1635
37,10,21,1.185,1.1112,0.064375,5.5762,5.3263,0.15039,179.36,187.31
38,10,9,1.2036,1.1278,0.082061,5.3414,5.1666,0.19932,22.288,2.7255
39,10,27,1.6347,1.343,0.20628,5.7024,5.3307,0.31305,296.23,5.1112
40,10,9,1.1126,1.0731,0.030307,5.6289,5.4584,0.19977,2.1753,1.1524
41,11,24,1.6073,1.4091,0.13826,4.5926,4.4129,0.18394,197.41,6.5913
42,11,0,1.0034,1.0034,0,3.8808,3.8808,0,186.31,0
43,11,18,1.395,1.2831,0.11407,5.156,4.9472,0.36417,288.39,6.8618
44,11,60,2.5695,1.8929,0.50032,7.4244,6.0187,1.1429,284.33,56.186
45,11,21,2.0989,1.6342,0.35382,6.0509,5.667,0.34739,300.74,9.6372
46,12,12,1.1489,1.1036,0.032216,5.045,4.8472,0.14066,293.53,2.7466
47,12,6,1.4414,1.301,0.16994,5.309,5.1658,0.20671,302.09,1.1714
48,12,72,2.3436,1.7148,0.45046,6.425,5.6823,0.675,291.49,28.349
49,12,39,1.8524,1.447,0.25222,6.3526,5.7508,0.34243,68.433,117.75
50,12,36,1.3405,1.1296,0.087808,4.7789,4.3318,0.22165,227.48,17.943
51,12,21,1.2738,1.1338,0.090319,4.1748,3.997,0.11635,176.94,1.7069
52,1,45,2.3165,1.7273,0.44515,6.8197,6.2372,0.58541,339.89,4.5302
53,1,18,1.2404,1.1225,0.084373,5.5869,5.1841,0.33093,287.59,6.3065
54,1,9,1.3067,1.1668,0.11178,6.1376,5.8049,0.41258,353.73,3.1645
55,1,3,1.0275,1.0149,0.01789,3.7505,3.7216,0.040941,152.36,0.42426
56,1,48,1.9117,1.346,0.24784,6.3187,5.5162,0.46135,335.37,13.535
57,1,12,2.1596,1.7565,0.33599,6.0459,5.5321,0.57176,274.09,21.004
58,2,21,1.7678,1.4967,0.22856,5.8275,5.3295,0.41838,298.94,30.292
59,3,33,1.6303,1.3621,0.17703,5.3958,5.1421,0.21877,300.6,7.9066
60,3,57,2.8192,1.8958,0.49848,7.3376,6.3893,0.65655,342.28,6.1984
61,4,3,1.0168,1.0147,0.0030406,4.5658,4.4771,0.12544,9.2947,1.0838
62,4,33,2.8227,1.9639,0.59053,6.5053,5.8705,0.68509,286.04,18.853
63,4,24,1.3345,1.2306,0.10574,5.2066,5.0544,0.21396,13.458,2.1917
64,5,30,1.2713,1.147,0.08628,5.2329,5.1016,0.11124,11.167,3.9211
65,5,9,1.08,1.0292,0.034278,4.5836,4.4614,0.084575,8.6808,0.58443
66,5,3,1.0734,1.0526,0.029345,4.844,4.7317,0.15889,16.964,1.1773
67,6,0,1.0076,1.0076,0,4.4887,4.4887,0,326.95,0
68,6,9,1.1892,1.1001,0.075428,5.6862,5.5365,0.19738,1.707,0.99453
69,6,0,1.0448,1.0448,0,3.8951,3.8951,0,278.23,0
70,7,33,2.8015,1.8262,0.63241,6.9411,6.2273,0.76117,288.72,130.13
71,7,27,1.6921,1.3904,0.18258,5.4039,5.0329,0.46243,264.49,19.729
72,7,6,1.1731,1.1224,0.080424,4.8913,4.8275,0.069155,344.17,0.20526
73,8,33,1.4825,1.2605,0.17947,5.3789,5.0769,0.37102,282.41,8.0173
74,8,90,2.7567,1.528,0.52168,6.6602,5.3316,0.67283,290.99,19.064
75,8,0,1.0202,1.0202,0,4.3921,4.3921,0,304.83,0
76,9,24,1.8822,1.5342,0.28876,6.7922,6.1691,0.43241,7.9265,2.9558
77,9,3,1.0341,1.0257,0.011809,3.8528,3.7921,0.085772,172.44,6.9367
78,9,48,1.5195,1.2999,0.15646,5.4456,5.1561,0.24117,284.87,21.27
79,9,9,1.3157,1.1769,0.12703,5.1815,4.9713,0.21728,304.31,2.7667
80,9,30,1.9635,1.5383,0.33389,5.9567,5.4996,0.59904,320.03,16.842
81,10,51,2.261,1.669,0.41976,6.5366,5.9066,0.62157,322.73,31.396
82,10,6,1.0305,1.0216,0.0092662,3.8862,3.8676,0.030304,186.52,6.8823
83,10,27,1.8751,1.366,0.29046,6.1893,5.0978,0.73691,82.103,94.724
84,10,9,1.2481,1.1751,0.077892,4.9587,4.7229,0.24441,276.08,3.7243
85,10,0,1.0115,1.0115,0,3.8429,3.8429,0,128.34,0
86,10,18,1.3888,1.2335,0.11576,5.1266,4.8857,0.19109,279.33,7.5958
87,10,39,2.6663,1.7551,0.5947,7.957,6.7611,1.1624,327.38,26.578
88,10,3,1.1631,1.1587,0.0062933,4.1928,4.1875,0.0074246,192.74,8.0752
89,10,9,1.1541,1.0647,0.067678,4.913,4.5812,0.42538,272.04,12.399
90,10,0,1.1018,1.1018,0,4.092,4.092,0,243.48,0
91,10,15,1.7762,1.5108,0.2515,5.6822,5.285,0.481,283.69,7.4917
92,10,24,1.7421,1.3888,0.23526,6.3874,5.9091,0.29985,87.282,152.67
93,11,0,1.0133,1.0133,0,4.8245,4.8245,0,322.52,0
94,11,42,1.9934,1.4153,0.34787,6.6132,5.7779,0.70028,317.91,41.348
95,11,3,1.0285,1.0266,0.002687,4.14,4.1136,0.037335,204.37,1.5839
96,11,27,1.6501,1.3205,0.18938,5.7993,5.0794,0.54382,268.99,18.716
97,11,0,1.1287,1.1287,0,4.084,4.084,0,285.54,0
98,11,3,1.1912,1.1492,0.059468,4.9767,4.8419,0.19071,292.77,0.92631
99,11,0,1.009,1.009,0,3.9815,3.9815,0,209.58,0
100,11,63,2.9092,1.6471,0.60539,7.6623,5.7469,1.3092,284.06,62.353
101,11,6,1.1102,1.0588,0.044532,5.2309,5.0603,0.20778,283.12,5.3193
102,11,3,1.0482,1.0454,0.0039598,5.4783,5.381,0.1376,286.62,4.4831
103,11,27,1.9067,1.5367,0.30307,5.9192,5.5825,0.30816,293.77,4.5245
104,11,12,1.4182,1.219,0.14379,5.6454,5.007,0.59586,179.9,163.68
105,11,9,1.2984,1.2305,0.060156,4.4377,4.3151,0.13284,209.26,4.8158
106,11,27,2.0147,1.5569,0.32272,6.4301,5.9219,0.35424,14.474,6.7053
107,12,33,1.4844,1.2464,0.14938,5.0891,4.7935,0.2552,238.29,22.354
108,12,33,2.1533,1.386,0.3797,6.7206,5.824,0.64979,325.25,11.875
109,12,102,2.1859,1.5735,0.30464,6.1964,5.6739,0.35323,302.44,25.433
110,12,18,1.6893,1.4573,0.22822,5.388,5.1475,0.31898,308.11,8.2417
111,12,0,1.0195,1.0195,0,4.5415,4.5415,0,250.84,0
112,12,24,2.41,1.5627,0.5,6.5276,5.3838,0.92585,265.72,26.24
113,12,42,1.526,1.2374,0.16158,6.0019,5.311,0.54431,296.06,32.873
114,12,18,1.1839,1.1375,0.068086,4.5971,4.2017,0.22914,197.24,30.357
115,12,39,3.1774,1.6315,0.66842,6.847,5.565,0.76569,289.2,21.711
116,12,3,1.0665,1.0517,0.02093,5.2225,4.9602,0.37095,283.3,5.374
117,12,126,2.1709,1.5367,0.28363,6.2676,5.648,0.43113,287.97,21.21
118,1,54,1.7939,1.3054,0.28708,5.7579,5.0132,0.41555,265.15,50.494
119,1,15,1.2904,1.1875,0.10919,4.5705,4.4247,0.12617,217.92,10.197
120,1,21,2.0671,1.5467,0.39375,5.1242,4.6877,0.32926,207.56,19.98
121,1,36,1.6007,1.3549,0.19816,5.2466,4.9614,0.31581,263.56,8.7757
122,1,15,1.9906,1.6527,0.30971,6.2752,5.9639,0.40993,352.72,3.2864
123,1,63,1.9269,1.4761,0.28867,5.9766,5.4445,0.32566,297.34,4.9828
124,2,45,3.0859,1.5791,0.53746,6.8622,5.5659,0.65128,283.2,16.971
125,2,27,2.111,1.6349,0.33652,6.0905,5.4897,0.70705,280.61,35.568
126,2,33,3.4358,2.0733,0.84233,7.4183,6.2305,0.85272,305.52,15.685
127,2,9,1.4026,1.2465,0.16092,4.7664,4.6203,0.20874,255.91,3.1952
128,2,0,1.0272,1.0272,0,4.5839,4.5839,0,44.411,0
129,3,6,1.2276,1.1606,0.089981,5.0865,4.8379,0.28577,298.08,9.0167
130,3,0,1.0364,1.0364,0,4.4094,4.4094,0,256.28,0
131,3,36,2.2259,1.5017,0.4128,6.2781,5.6514,0.59525,304.5,21.176
132,3,6,1.0465,1.0351,0.014356,5.0595,4.9504,0.14758,19.101,1.5222
133,3,0,1.2449,1.2449,0,4.0378,4.0378,0,195.89,0
134,3,12,1.2818,1.1751,0.090076,5.8417,5.5526,0.35783,145.12,190.01
